fecha,entidad,hospitalizados,camas_intubados
2020-03-25,Ciudad de México,105,33
2020-03-25,Estado de México,0,0
2020-03-26,Ciudad de México,128,42
2020-03-26,Estado de México,0,0
2020-03-27,Ciudad de México,175,60
2020-03-27,Estado de México,0,0
2020-03-28,Ciudad de México,257,78
2020-03-28,Estado de México,0,0
2020-04-01,Ciudad de México,359,128
2020-04-01,Estado de México,25,5
2020-04-10,Ciudad de México,834,256
2020-04-10,Estado de México,251,58
2020-04-14,Ciudad de México,1110,343
2020-04-14,Estado de México,336,75
2020-04-15,Ciudad de México,1121,355
2020-04-15,Estado de México,409,117
2020-04-16,Ciudad de México,1255,390
2020-04-16,Estado de México,450,118
2020-04-17,Ciudad de México,1408,468
2020-04-17,Estado de México,479,117
2020-04-18,Ciudad de México,1548,487
2020-04-18,Estado de México,519,124
2020-04-19,Ciudad de México,1647,524
2020-04-19,Estado de México,558,130
2020-04-20,Ciudad de México,1706,529
2020-04-20,Estado de México,595,127
2020-04-21,Ciudad de México,1878,572
2020-04-21,Estado de México,651,127
2020-04-23,Ciudad de México,2064,571
2020-04-23,Estado de México,681,130
2020-04-30,Ciudad de México,2900,845
2020-04-30,Estado de México,1207,215
2020-05-05,Ciudad de México,3438,878
2020-05-05,Estado de México,1556,224
2020-05-07,Ciudad de México,3424,899
2020-05-07,Estado de México,1482,235
2020-05-09,Ciudad de México,3610,918
2020-05-09,Estado de México,1606,268
2020-05-11,Ciudad de México,3779,935
2020-05-11,Estado de México,1644,258
2020-05-15,Ciudad de México,4099,974
2020-05-15,Estado de México,1772,315
2020-05-16,Ciudad de México,4159,982
2020-05-16,Estado de México,1811,313
2020-05-20,Ciudad de México,4540,1111
2020-05-20,Estado de México,1885,318
2020-05-26,Ciudad de México,4478,1076
2020-05-26,Estado de México,1862,368
2020-05-28,Ciudad de México,4420,1053
2020-05-28,Estado de México,1821,345
2020-05-30,Ciudad de México,4444,1081
2020-05-30,Estado de México,1834,366
2020-06-03,Ciudad de México,4465,1095
2020-06-03,Estado de México,1897,395
2020-06-06,Ciudad de México,4484,1045
2020-06-06,Estado de México,1958,380
2020-06-08,Ciudad de México,4408,1041
2020-06-08,Estado de México,1912,367
2020-06-14,Ciudad de México,4331,1006
2020-06-14,Estado de México,1799,341
2020-06-15,Ciudad de México,4279,998
2020-06-15,Estado de México,1778,331
2020-06-19,Ciudad de México,4142,952
2020-06-19,Estado de México,1676,313
2020-06-20,Ciudad de México,4080,958
2020-06-20,Estado de México,1670,316
2020-06-28,Ciudad de México,3780,958
2020-06-28,Estado de México,1502,312
2020-06-29,Ciudad de México,3793,949
2020-06-29,Estado de México,1484,312
2020-06-30,Ciudad de México,3822,932
2020-06-30,Estado de México,1466,304
2020-07-03,Ciudad de México,3666,897
2020-07-03,Estado de México,1429,298
2020-07-04,Ciudad de México,3592,878
2020-07-04,Estado de México,1418,325
2020-07-10,Ciudad de México,3452,844
2020-07-10,Estado de México,1348,308
2020-07-15,Ciudad de México,3411,812
2020-07-15,Estado de México,1342,303
2020-07-21,Ciudad de México,3391,811
2020-07-21,Estado de México,1254,288
2020-07-23,Ciudad de México,3438,776
2020-07-23,Estado de México,1279,295
2020-07-30,Ciudad de México,3383,839
2020-07-30,Estado de México,1214,295
2020-07-31,Ciudad de México,3284,831
2020-07-31,Estado de México,1228,295
2020-08-05,Ciudad de México,3176,813
2020-08-05,Estado de México,1114,266
2020-08-07,Ciudad de México,3115,787
2020-08-07,Estado de México,1096,256
2020-08-09,Ciudad de México,3004,777
2020-08-09,Estado de México,1101,276
2020-08-10,Ciudad de México,2973,754
2020-08-10,Estado de México,1087,279
2020-08-11,Ciudad de México,2902,712
2020-08-11,Estado de México,1100,263
2020-08-13,Ciudad de México,2822,690
2020-08-13,Estado de México,1156,272
2020-08-18,Ciudad de México,2889,677
2020-08-18,Estado de México,1110,256
2020-08-19,Ciudad de México,2885,686
2020-08-19,Estado de México,1125,250
2020-08-23,Ciudad de México,2720,695
2020-08-23,Estado de México,1025,223
2020-08-25,Ciudad de México,2850,706
2020-08-25,Estado de México,1002,200
2020-09-01,Ciudad de México,2931,700
2020-09-01,Estado de México,932,200
2020-09-02,Ciudad de México,2889,685
2020-09-02,Estado de México,958,186
2020-09-03,Ciudad de México,2845,670
2020-09-03,Estado de México,918,190
2020-09-05,Ciudad de México,2820,671
2020-09-05,Estado de México,903,188
2020-09-11,Ciudad de México,2885,704
2020-09-11,Estado de México,938,203
2020-09-20,Ciudad de México,2705,712
2020-09-20,Estado de México,899,200
2020-09-23,Ciudad de México,2712,690
2020-09-23,Estado de México,883,185
2020-09-25,Ciudad de México,2632,675
2020-09-25,Estado de México,844,174
2020-09-26,Ciudad de México,2556,659
2020-09-26,Estado de México,826,170
2020-09-28,Ciudad de México,2597,679
2020-09-28,Estado de México,823,170
2020-10-01,Ciudad de México,2602,658
2020-10-01,Estado de México,848,173
2020-10-02,Ciudad de México,2608,669
2020-10-02,Estado de México,836,166
2020-10-03,Ciudad de México,2566,664
2020-10-03,Estado de México,832,160
2020-10-07,Ciudad de México,2586,669
2020-10-07,Estado de México,906,175
2020-10-11,Ciudad de México,2597,687
2020-10-11,Estado de México,875,175
2020-10-14,Ciudad de México,2691,700
